Date,GDP per Capita
2000-01-01,22383.9648437500
2001-01-01,23019.2500000000
2002-01-01,23604.1894531250
2003-01-01,23930.7832031250
2004-01-01,24799.6484375000
2005-01-01,25631.3671875000
2006-01-01,26395.5039062500
2007-01-01,27156.8183593750
2008-01-01,27449.2265625000
2009-01-01,26183.6855468750
2010-01-01,26090.0488281250
2011-01-01,25538.7812500000
2012-01-01,24285.4960937500
2013-01-01,22738.4902343750
2014-01-01,22581.8281250000
2015-01-01,23487.2285156250
2016-01-01,24916.6328125000
2017-01-01,26105.5859375000
2018-01-01,27406.4765625000
2019-01-01,28625.7792968750
2020-01-01,27391.5917968750
2021-01-01,30228.0351562500
2022-01-01,31967.5410156250
2023-01-01,32340.8417968750
2024-01-01,32998.6718750000
